0.0000   19 -579450.63 0.00000000 -43.873611 91.647751 0.00000000 41.679763 39.486524 37.292658 35.098829 32.905261 30.711633 28.518012 26.324372 24.130447 21.936681 19.743035 17.549484 15.355747 13.162180 10.968381 8.7746751 6.5810251 4.3873653 2.1936887 0.00000000 -2.1936888 9.5289734 25.207157 43.582505 63.825269 74.462479 85.368939 96.499565 107.81616 114.68163 121.59613 128.55394 135.54996 142.57948 149.63817 156.72213 163.82774 173.32987 182.85750 201.96445
1.0000   19 -578271.00 0.00000000 -67.125023 59.540760 0.00000000 63.768741 60.412652 57.056499 53.700037 50.343980 46.987636 43.631336 40.275033 36.918913 33.562382 30.206252 26.850119 23.493689 20.137503 16.781339 13.425003 10.068726 6.7125374 3.3562553 0.00000000 -3.3562424 5.8094941 19.731762 36.741412 55.824149 65.928445 76.323833 86.960445 97.796598 104.37920 111.01428 117.69580 124.41831 131.17683 137.96682 144.78419 151.62512 160.77713 169.95756 188.37804
2.0000   20 -579561.56 0.00000000 -59.096184 27.347523 0.00000000 59.096223 56.141508 53.186597 50.231847 47.276972 44.322133 41.367340 38.412627 35.457753 32.502881 29.548111 26.593298 23.638474 20.683653 17.728876 14.774054 11.819234 8.8644163 5.9096430 2.9548244 0.00000000 6.6280391 18.929703 34.834115 53.119574 62.902674 73.015211 83.400239 94.010398 100.46785 106.98459 113.55388 120.16968 126.82647 133.51926 140.24352 146.99507 156.03311 165.10492 183.32196
3.0000   20 -577082.13 0.00000000 -55.178764 54.848186 0.00000000 55.178538 52.419698 49.660748 46.901798 44.143160 41.384076 38.625122 35.866035 33.107111 30.348319 27.589272 24.830374 22.071486 19.312578 16.553559 13.794636 11.035745 8.2768180 5.5178818 2.7589449 0.00000000 8.9476419 23.149817 40.849518 60.930448 71.622507 82.653014 93.964994 105.51048 112.53279 119.61683 126.75567 133.94303 141.17315 148.44080 155.74120 163.06996 172.87894 182.72277 202.48518
4.0000   19 -579589.88 0.00000000 -42.702522 121.59047 0.00000000 40.567492 38.432432 36.296996 34.162101 32.026857 29.891700 27.756714 25.621494 23.486452 21.351184 19.216185 17.080940 14.945902 12.810833 10.675660 8.5405255 6.4053860 4.2702348 2.1351298 0.00000000 -2.1351280 12.314124 30.129577 50.096802 71.482467 82.553047 93.815176 105.23335 116.77777 123.75444 130.76274 137.79838 144.85751 151.93653 159.03226 166.14173 173.26224 182.76921 192.28619 211.33179
5.0000    0 -579354.06 0.00000000 -51.546291 57.496761 0.00000000 48.969056 46.391716 43.814387 41.236943 38.659377 36.082256 33.505089 30.927643 28.350218 25.772965 23.195878 20.618539 18.041227 15.463896 12.886452 10.309282 7.7319624 5.1546180 2.5773027 0.00000000 -2.5773046 6.4692678 20.435298 37.617800 56.968874 67.234764 77.806562 88.632291 99.668377 106.37553 113.13821 119.95008 126.80548 133.69920 140.62651 147.58311 154.56501 163.90740 173.28070 192.09309
6.0000   18 -582135.25 0.00000000 -48.842625 90.444786 0.00000000 43.958383 41.516269 39.073893 36.631927 34.189759 31.747867 29.305321 26.863503 24.421380 21.979258 19.537053 17.094804 14.652821 12.210627 9.7685537 7.3263867 4.8842690 2.4421306 0.00000000 -2.4421349 -4.8842774 7.0255701 23.302239 42.510082 63.729603 74.892668 86.344003 98.035116 109.92509 117.13981 124.40690 131.72034 139.07461 146.46474 153.88610 161.33451 168.80610 178.79825 188.81777 208.91250
7.0000   20 -579022.38 0.00000000 -40.457558 78.036743 0.00000000 40.457887 38.434542 36.411954 34.389025 32.365848 30.343367 28.320266 26.297346 24.274428 22.251662 20.228945 18.205974 16.183043 14.160115 12.137219 10.114470 8.0915171 6.0686831 4.0457503 2.0228742 0.00000000 10.583782 25.466390 43.282448 63.133255 73.622296 84.406396 95.436966 106.67280 113.49803 120.37777 127.30596 134.27709 141.28605 148.32825 155.39945 162.49576 171.99046 181.51585 200.63210
8.0000    0 -580243.56 0.00000000 -37.511948 52.938538 0.00000000 37.511866 35.636262 33.760627 31.884939 30.009459 28.133832 26.258444 24.383022 22.507191 20.631545 18.755931 16.880315 15.004662 13.129284 11.253596 9.3779689 7.5023313 5.6268155 3.7512064 1.8755980 0.00000000 9.3543629 24.557761 43.461910 64.825161 76.172146 87.862962 99.838785 112.05059 119.47348 126.95859 134.49881 142.08781 149.71970 157.38917 165.09141 172.82196 183.16646 193.54546 214.37682
9.0000    0 -579416.13 0.00000000 -30.530493 78.741768 0.00000000 30.530555 29.003942 27.477297 25.950810 24.424196 22.897890 21.371305 19.844789 18.318255 16.791728 15.265274 13.738652 12.212254 10.685675 9.1591330 7.6326396 6.1061287 4.5795842 3.0530696 1.5265329 0.00000000 10.829180 26.172810 44.554175 65.023573 75.833483 86.943484 98.303597 109.87153 116.89696 123.97743 131.10671 138.27923 145.48977 152.73367 160.00662 167.30466 177.06822 186.86224 206.51463
10.0000    1 -579629.75 0.00000000 118.27236 -112.17696 0.00000000 -5.9136577 0.00000000 5.9132683 11.827273 17.740938 23.654450 29.568123 35.481758 41.395277 47.308958 53.222565 59.136028 65.049861 70.963409 76.877029 82.790682 88.704328 94.617881 100.53156 106.44518 112.35879 108.16399 114.09689 126.39803 142.90065 152.28619 162.25924 172.72180 183.59282 190.28294 197.08304 203.98166 210.96856 218.03438 225.17069 232.36981 239.62475 249.37390 259.19743 279.02075
