SMILES,CID,canonical_CID,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,f_max_inhibition_reading,f_min_inhibition_reading,f_hill_slope,f_R2,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCc1cccnc1)c1cccnc1,LON-WEI-adc59df6-28,LON-WEI-adc59df6-28,18.1710485789818,61.301838207571,,41.22132,59.26645,49.8615755502403,4.30223400256781,68.026485,-7.462169,1.31515561902206,0.96907403741618,1.0,0.96,99.0
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCC)c1cccnc1,LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,52.5643268018405,100.0,22.29,56.96627,50.15858,45.490007175617,4.34208399466421,73.38903,-7.585122,1.40029649385709,0.970729695255993,0.99,1.0,99.0
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)CC)c1cccnc1,LON-WEI-adc59df6-31,LON-WEI-adc59df6-31,3.70690693100509,23.8849407622396,,16.77235,32.50125,,,,,,,1.0,1.0,
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCC1CCCO1)c1cccnc1,LON-WEI-adc59df6-32,LON-WEI-adc59df6-32,0.0,25.6290118676384,,70.84584,44.10689,90.5004515688197,4.04334925379637,51.27049,-6.8284995,1.40424027326686,0.93397209742542,1.0,0.99,99.0
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC1CCCC1)c1cccnc1,LON-WEI-adc59df6-35,LON-WEI-adc59df6-35,0.0,1.67674371141943,,-10.46988,-12.77713,,,,,,,1.01,1.0,
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1ccc(OC)nc1)c1cccnc1,LON-WEI-adc59df6-37,LON-WEI-adc59df6-37,0.0,0.0,,1.075562,13.39929,,,,,,,1.0,1.0,
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC1CCOCC1)c1cccnc1,LON-WEI-adc59df6-39,LON-WEI-adc59df6-39,0.8409547847832,31.0886910790132,,9.005827,0.6676884,,,,,,,0.99,1.0,
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCc1ccccc1)c1cccnc1,LON-WEI-adc59df6-40,LON-WEI-adc59df6-40,69.1318397623359,100.0,16.8,42.31294,66.59282,33.3240661657904,4.4772420118984,78.389025,-6.901009,1.391985688718,0.979685664707855,0.99,0.89,99.0
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1ccc(F)cc1)c1cccnc1,LON-WEI-adc59df6-41,LON-WEI-adc59df6-41,8.54990169353133,31.9136629000442,,16.96499,35.96716,,,,,,,0.98,0.86,
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC1CC1)c1cccnc1,LON-WEI-adc59df6-44,LON-WEI-adc59df6-44,8.6698719586668,33.304028462348,,25.40574,32.95042,,,,,,,1.01,1.0,
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1ccc(OC)cc1OC)c1cccnc1,LON-WEI-adc59df6-45,LON-WEI-adc59df6-45,5.02935631875953,45.87330743918,,48.914,41.62734,6.47440777057573,5.18879995137552,78.08638,34.8802,0.35817346790807,0.474014039095292,0.98,0.84,
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,LON-WEI-adc59df6-47,LON-WEI-adc59df6-47,91.822164116722,100.0,4.199,63.32975,83.42767,2.95839909601009,5.52894323889106,95.63367,36.22951,0.636587271178085,0.851552515670119,0.98,0.55,99.0
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cnc[nH]1,LON-WEI-adc59df6-49,LON-WEI-adc59df6-49,0.0,0.0,,-20.15315,-23.5603,,,,,,,0.99,0.89,
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cncc2ccccc12,LON-WEI-adc59df6-52,LON-WEI-adc59df6-52,0.0,0.0,,-17.71307,-17.45702,,,,,,,0.85,0.56,
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cncc(Cl)c1,LON-WEI-adc59df6-53,LON-WEI-adc59df6-53,0.0,13.4880624419675,,34.58495,19.56934,65.5840093517116,4.18320203710094,57.418035,-3.603407,0.971237010875927,0.581233013415037,0.99,0.86,99.0
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cncc(Br)c1,LON-WEI-adc59df6-54,LON-WEI-adc59df6-54,0.0,0.0,,14.56664,-13.84846,,,,,,,0.99,0.97,
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cncc(Br)c1C,LON-WEI-adc59df6-55,LON-WEI-adc59df6-55,12.8850623037341,35.2724667787641,,-4.324723,7.839269,,,,,,,0.98,0.92,
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cccnc1C,LON-WEI-adc59df6-56,LON-WEI-adc59df6-56,0.0,0.0,,-1.335624,2.239791,,,,,,,0.99,0.99,
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cncc(OCC)c1,LON-WEI-adc59df6-57,LON-WEI-adc59df6-57,-0.815770299228568,14.9557070934443,,-1.871799,2.585775,,,,,,,0.99,0.89,
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cncc(OC)c1,LON-WEI-adc59df6-58,LON-WEI-adc59df6-58,0.074075837683921,8.4664172438448,,-13.44934,-6.871121,,,,,,,1.0,0.99,
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cncc(OC)c1C,LON-WEI-adc59df6-59,LON-WEI-adc59df6-59,8.10011045080358,38.9773895814231,,8.601287,28.62562,,,,,,,0.99,0.95,
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cncc(C(C)(F)F)c1,LON-WEI-adc59df6-60,LON-WEI-adc59df6-60,0.0,0.0,,-11.48123,-15.47823,,,,,,,0.99,0.96,
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cnccc1C,LON-WEI-adc59df6-61,LON-WEI-adc59df6-61,0.0,0.0,,-13.98552,-12.48577,,,,,,,0.99,1.0,
C=CC(=O)N(C(C(=O)NC(C)(C)C)c1cccnc1)[C@@H]1C[C@@H]1c1ccccc1,LON-WEI-adc59df6-62,LON-WEI-adc59df6-62,0.0,,,-14.37401,-6.464438,,,,,,,0.97,0.88,
C=CC(=O)N(C1CCCC(C(C)C)CC1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-adc59df6-67,LON-WEI-adc59df6-67,0.0,,,-1.075562,8.239882,,,,,,,0.99,0.95,
C=CC(=O)N(c1ccc2cc[nH]c2c1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-adc59df6-68,LON-WEI-adc59df6-68,0.0,,,5.377811,10.52216,,,,,,,0.84,0.93,
